Food_items,Breakfast,Lunch,Dinner,Gain weight,Lose weight
Asparagus ,1,1,1,0,1
Avocados,1,1,1,0,1
Bananas,0,0,0,0,1
Bagels ,1,1,1,0,1
Berries,1,1,1,0,1
Brocolli,1,1,1,0,1
Brown Rice,1,1,1,0,1
Cauliflower,1,1,1,0,1
American cheese,0,0,0,0,1
Coffee,1,1,1,0,1
Corn,1,1,1,0,1
Dark chocolates,0,0,0,0,1
Grapes,1,1,1,0,1
Milk,0,0,0,0,1
Cashew Nuts,1,1,1,0,1
Onions,1,1,1,0,1
Orange,1,1,1,0,1
Pasta canned ,0,0,0,0,1
Pears,1,1,1,0,1
Peas,1,1,1,0,1
Protein Powder,0,0,0,0,1
Pumpkin,1,1,1,0,1
Tuna Salad,1,1,1,0,1
Tuna Fish,0,0,0,0,1
Peproni Pizza,0,0,0,0,1
Cheese Pizza,0,0,0,0,1
French Fries,0,0,0,0,1
Chicken Burger,0,0,0,0,1
Cheese Burger,0,0,0,0,1
Chicken Sandwich,0,0,0,0,1
Sugar Doughnuts,0,0,0,0,1
Chocolate Doughnuts,0,0,0,0,1
Pop Corn - Caramel,1,1,1,0,1
Pop Corn,1,1,1,0,1
Dosa,1,1,1,0,1
Idli,1,1,1,0,1
Poha,1,1,1,0,1
Chappati,1,1,1,0,1
Tomato,1,1,1,0,1
Yogurt,0,0,0,0,1
Brownie,0,0,0,0,1
Noodles,0,0,0,0,1
Uttapam,1,1,1,0,1
Bhaji Pav,0,0,0,0,1
Dal Makhani,1,1,1,0,1
Almonds,1,1,1,0,1
Mushrooms,1,1,1,0,1
Egg Yolk cooked,0,0,0,0,1
Sweet Potatoes ,1,1,1,0,1
Boiled Potatoes,0,0,0,0,1
White Rice,0,0,0,0,1
Orange juice,1,1,1,0,1
Greek yogurt plain,0,0,0,0,1
Oat Bran Cooked,1,1,1,0,1
Green Tea,1,1,1,0,1
Chia seeds,1,1,1,0,1
Cottage cheese ,0,0,0,0,1
Salmon,1,1,1,0,1
Cereals-Corn Flakes,1,1,1,0,1
Beans,1,1,1,0,1
Lentils,1,1,1,0,1
Pasta ,1,1,1,0,1
Tea,1,1,1,0,1
Apples,1,1,1,0,1
Strawberries,1,1,1,0,1
Quninoa,1,1,1,0,1
Goat meat,0,0,0,0,1
Rabbit meat,0,0,0,0,1
Chicken Strips,0,0,0,0,1
Steak Fries,0,0,0,0,1
Mexican Rice,0,0,0,0,1
Fried Shrimp,0,0,0,0,1
Spaghetti and meatballs,0,0,0,0,1
Macroni n Cheese ,0,0,0,0,1
Pork cooked,0,0,0,0,1
Bacon cooked,0,0,0,0,1
Nachos,0,0,0,0,1
Chicken Popcorn,0,0,0,0,1
Turkey cooked,0,0,0,0,1
Oyster cooked,0,0,0,0,1
Beef sticks,0,0,0,0,1
Banana Chips,0,0,0,0,1
Honey,1,1,1,0,1
Chocolate Icecream,1,1,1,0,1
Vanilla Ice cream,1,1,1,0,1
Strawberry Icecream,0,0,0,0,1
Marshmallows,0,0,0,0,1
Chocolate milk,0,0,0,0,1
Rice Pudding,0,0,0,0,1
